split,model,arch,logloss,accuracy,macro_auc,macro_prauc,prevalence_none,auc_none,prauc_none,brier_none,bss_none,prevalence_kraken,auc_kraken,prauc_kraken,brier_kraken,bss_kraken,prevalence_triton,auc_triton,prauc_triton,brier_triton,bss_triton,prevalence_coral,auc_coral,prauc_coral,brier_coral,bss_coral
cv,logreg,direct,1.914403672957163,0.367816091954023,0.6283499760211458,0.3426321015703444,0.39846743295019155,0.6167932386085253,0.5285822457884428,0.2689289542595837,-0.12198121589399191,0.2222222222222222,0.5870562255817904,0.2753631800136849,0.23053195148068295,-0.33379200499538,0.19540229885057472,0.642296918767507,0.27209597398292285,0.20197615570109856,-0.284670186976147,0.1839080459770115,0.6672535211267606,0.2944870064963273,0.18187559954639287,-0.21181022268190808
cv,logreg,casc_A_tier12,1.8559834163891102,0.4099616858237548,0.6150265405547799,0.3274008535940228,0.39846743295019155,0.6241425771680548,0.5127332009804327,0.2701961339543003,-0.12726793490328836,0.2222222222222222,0.5333786308816035,0.2665080299636579,0.21956771887618692,-0.27035608778365305,0.19540229885057472,0.657142857142857,0.27321603348956675,0.1875900439706573,-0.19316726286882768,0.1839080459770115,0.6454420970266042,0.2571461499424338,0.1705397508294033,-0.13628113910893802
cv,logreg,casc_B_K_prev,1.605115073637495,0.4099616858237548,0.6297621970191933,0.3380004791300966,0.39846743295019155,0.6241425771680548,0.5127332009804327,0.2701961339543003,-0.12726793490328836,0.2222222222222222,0.5154577883472057,0.2677492538357028,0.22326463358796456,-0.2917453800446521,0.19540229885057472,0.6985994397759103,0.2972207000575444,0.14974617437813692,0.047538828682253564,0.1839080459770115,0.6808489827856025,0.2742987616467066,0.14723720390547893,0.018980284893864496
cv,logreg,casc_C_K_TC,1.775209471872405,0.39846743295019155,0.6097596243938991,0.3263498339273799,0.39846743295019155,0.6241425771680548,0.5127332009804327,0.2701961339543003,-0.12726793490328836,0.2222222222222222,0.5154577883472057,0.2677492538357028,0.22326463358796458,-0.29174538004465234,0.19540229885057472,0.6677871148459383,0.28038012938140167,0.17738578811998584,-0.1282630506556075,0.1839080459770115,0.6316510172143975,0.24453675151198231,0.1678659407737348,-0.11846593813063255
cv,rforest,direct,1.2346737419536082,0.4329501915708812,0.677028472280021,0.36480981983872274,0.39846743295019155,0.7122121509064184,0.5526791885726887,0.21425861386717043,0.10610539960524756,0.2222222222222222,0.5884151520298965,0.2827077411014408,0.17409263397140132,-0.007250239405964809,0.19540229885057472,0.7301587301587302,0.337698779554466,0.14434782824732792,0.08187503192939072,0.1839080459770115,0.6773278560250391,0.2861535701262954,0.14407728906362138,0.04003433017381142
cv,rforest,casc_A_tier12,1.21180769943816,0.48659003831417624,0.6808960265336361,0.39052382334272906,0.39846743295019155,0.7108647721705047,0.5599609485426036,0.20773600218423977,0.13331796883925784,0.2222222222222222,0.5700696449804654,0.32399915300604026,0.17217151241124115,0.0038648210492475688,0.19540229885057472,0.7394024276377217,0.3442724782434675,0.1415290701182097,0.09980375485316872,0.1839080459770115,0.7032472613458529,0.33386271357880487,0.13907529111037847,0.07336190280417731
cv,rforest,casc_B_K_prev,1.1970968556235464,0.4827586206896552,0.6824726017551737,0.38758593634506205,0.39846743295019155,0.7108647721705047,0.5599609485426036,0.2077360021842397,0.13331796883925806,0.2222222222222222,0.5342279599116698,0.30262648605869485,0.1749752807141345,-0.012356981274635359,0.19540229885057472,0.753968253968254,0.34472050146932753,0.13826516188593851,0.12056385687842974,0.1839080459770115,0.730829420970266,0.34303580930962213,0.13693358046060078,0.08763180413178939
cv,rforest,casc_C_K_TC,1.208874733907778,0.48659003831417624,0.6767129211223571,0.38918219526369974,0.39846743295019155,0.7108647721705047,0.5599609485426036,0.20773600218423974,0.13331796883925795,0.2222222222222222,0.5342279599116698,0.30262648605869485,0.17497528071413454,-0.012356981274635581,0.19540229885057472,0.7509803921568627,0.35335666728906723,0.1410074284625954,0.10312165879547519,0.1839080459770115,0.7107785602503913,0.3407846791644331,0.13858512684514762,0.07662779481432902
cv,hgb,direct,1.9832930855870057,0.4521072796934866,0.6413504479077325,0.35855517482789473,0.39846743295019155,0.6653601175894169,0.5404051827839246,0.2632436841184223,-0.09826206552125472,0.2222222222222222,0.5896042126719891,0.2940993312291649,0.213094098844352,-0.23290157188517946,0.19540229885057472,0.6709617180205416,0.319918470359934,0.1970473895556961,-0.2533207491992131,0.1839080459770115,0.6394757433489827,0.27979771493855554,0.18754134247319512,-0.24956022991163196
cv,hgb,casc_A_tier12,1.9944253785957817,0.3946360153256705,0.6191906240172784,0.3356994874780891,0.39846743295019155,0.6692797648211661,0.5341540781044907,0.26351832530401076,-0.09940787837056098,0.2222222222222222,0.5403431289281466,0.26722875967834414,0.2156466658150345,-0.2476699950726997,0.19540229885057472,0.676470588235294,0.30503030933699704,0.19272062157956962,-0.22580032330736333,0.1839080459770115,0.590669014084507,0.23638480279252466,0.20955268513461114,-0.39621855086608426
