table,column,phase1_mean,phase2_mean,phase1_pct_missing,phase2_pct_missing,delta_pct_missing,cohen_d
triage,arrival_day_of_festival,2.3563218390804597,360.50359712230215,0.0,0.0,0.0,256.39031899391875
triage,arrival_dow,2.4559386973180075,2.5035971223021583,0.0,0.0,0.0,0.02844193294496811
triage,cand_acidosis,0.3831417624521073,0.4460431654676259,0.0,0.0,0.0,0.12805478441956933
triage,cand_cns_depression_score,0.8045977011494253,0.8633093525179856,0.0,0.0,0.0,0.08601361753114861
triage,cand_high_anion_gap,0.421455938697318,0.4676258992805755,0.0,0.0,0.0,0.09292822902449642
triage,cand_hr_temp_product,3873.83714559387,3976.421035971223,0.0,0.0,0.0,0.10872205951130648
triage,cand_k_extreme,0.13793103448275862,0.09352517985611511,0.0,0.0,0.0,-0.1353833499249344
triage,cand_log_onset,4.724007576670256,4.7919268143386216,0.23371647509578544,0.2158273381294964,-0.01788913696628905,0.10442974157858459
triage,cand_map,89.07803320561942,87.41582733812949,0.0,0.0,0.0,-0.2145146136024551
triage,cand_mod_shock_index,1.168024357787227,1.2197124782242605,0.0,0.0,0.0,0.16757757364342918
triage,cand_na_extreme,0.1685823754789272,0.17266187050359713,0.0,0.0,0.0,0.010833286997020726
triage,cand_news_gcs,1.6896551724137931,1.920863309352518,0.0,0.0,0.0,0.23121058692171015
triage,cand_news_high_risk,0.4942528735632184,0.5611510791366906,0.0,0.0,0.0,0.1338155130692445
triage,cand_news_hr,1.0881226053639848,1.2517985611510791,0.0,0.0,0.0,0.1533912290387915
triage,cand_news_rr,1.524904214559387,1.6258992805755397,0.0,0.0,0.0,0.07740050880070708
triage,cand_news_sbp,0.3793103448275862,0.48201438848920863,0.0,0.0,0.0,0.13564871697088482
triage,cand_news_spo2,0.578544061302682,0.60431654676259,0.0,0.0,0.0,0.02974071498899747
triage,cand_news_temp,0.44061302681992337,0.48201438848920863,0.0,0.0,0.0,0.048249937579081845
triage,cand_news_total,5.7011494252873565,6.366906474820144,0.0,0.0,0.0,0.15095913871924066
triage,cand_onset_x_hr,1.3294721308835777,1.157725284552763,0.23371647509578544,0.2158273381294964,-0.01788913696628905,-0.13114225937417262
triage,cand_onset_x_news,0.09058956293604384,0.0752152461527522,0.23371647509578544,0.2158273381294964,-0.01788913696628905,-0.1304770083603119
triage,cand_poc_abn_count,1.160919540229885,1.1942446043165467,0.0,0.0,0.0,0.0308975146145549
triage,cand_pulse_pressure,46.98122605363985,44.19280575539568,0.0,0.0,0.0,-0.15871937863637098
triage,cand_rate_pressure_product,12369.261149425289,12256.94223021583,0.0,0.0,0.0,-0.035026008308089496
triage,cand_shock_index,0.8711401944650446,0.9228546759468523,0.0,0.0,0.0,0.2061340031755809
triage,cand_shock_index_age,32.23420859577251,33.00699326605888,0.0,0.0,0.0,0.04851755043183169
triage,cand_sympathetic_score,1.3103448275862069,1.39568345323741,0.0,0.0,0.0,0.066517137792969
triage,festival_note_keyword_hit,0.6934865900383141,0.7266187050359713,0.0,0.0,0.0,0.07251288293805289
triage,is_festival_patient,0.7011494252873564,0.7266187050359713,0.0,0.0,0.0,0.05600866301133006
triage,note_arousal_density,0.014377441355128978,0.012281423612358861,0.0,0.0,0.0,-0.05118452995360864
